orderid,userid,itemid,gmv,order_time
1076967,37643,6616141,10,2017-03-07
1076976,35942,7731220,86,2017-01-17
1076981,56951,2276181,24,2017-03-10
1076988,59672,1700732,26,2017-04-17
1076996,69171,8769490,63,2017-03-23
1077003,57451,3358459,24,2017-04-29
1077004,55335,6862426,84,2017-02-17
1077012,38978,8272829,6,2017-02-11
1077014,46152,8006602,41,2017-01-02
1077015,44171,7421976,78,2017-04-21
1077022,12206,2232988,78,2017-03-17
1077032,36688,1705232,43,2017-04-04
1077035,19403,3437412,12,2017-01-29
1077045,11293,1527747,35,2017-05-03
1077055,12096,2785374,53,2017-04-05
1077063,67626,2872806,35,2017-02-19
1077069,59723,3818822,15,2017-01-05
1077070,70038,4693396,50,2017-02-23
1077072,14004,2746845,45,2017-01-29
1077073,58569,1672912,87,2017-05-31
1077078,39375,5775574,43,2017-06-01
1077083,68908,8156142,87,2017-03-21
1077093,32777,8695863,28,2017-01-20
1077095,69053,8304245,23,2017-01-17
1077096,13304,1933942,26,2017-05-06
1077103,68476,7896228,33,2017-04-18
1077112,21742,4208017,83,2017-04-25
1077120,67345,7179726,84,2017-05-09
1077122,52405,1512641,1,2017-04-04
1077126,38486,1668463,5,2017-05-29
1077130,13241,8472673,58,2017-03-19
1077131,11477,7445796,14,2017-04-21
1077140,39774,7278077,14,2017-05-23
1077146,63419,7504475,87,2017-01-05
1077156,21358,8735896,9,2017-04-12
1077158,12436,3452069,22,2017-03-04
1077161,17713,6567723,2,2017-03-09
1077165,15338,1851969,42,2017-04-02
1077167,36773,1425443,32,2017-03-16
1077168,14435,4347639,7,2017-05-12
1077175,67402,1563004,94,2017-04-18
1077179,69242,8374229,56,2017-01-14
1077189,65971,1562128,77,2017-04-21
1077193,33731,4921816,11,2017-05-09
1077196,54647,4540684,25,2017-05-12
1077205,61795,4301425,11,2017-04-25
1077212,64365,2858289,11,2017-05-03
1077216,55866,7605490,52,2017-02-16
1077222,25031,2957819,72,2017-03-23
1077231,40374,1807277,32,2017-03-31
1077240,49463,3376379,2,2017-02-21
1077248,60489,4401165,59,2017-04-23
1077257,25404,3749479,29,2017-01-12
1077259,27580,3507103,26,2017-02-10
1077262,67165,3610218,34,2017-01-07
1077270,22565,6892547,12,2017-01-11
1077278,45568,6190598,33,2017-04-05
1077279,57314,7280150,55,2017-05-12
1077283,10760,8699408,31,2017-05-04
1077289,64680,9046556,10,2017-05-20
1077299,29991,2258652,47,2017-01-29
1077302,31708,3107065,50,2017-03-27
1077312,19235,2563937,80,2017-06-01
1077319,15152,2461909,79,2017-02-05
1077323,54119,6487394,38,2017-03-01
1077330,48853,8523897,85,2017-05-01
1077332,26527,4027105,61,2017-04-28
1077342,13314,4163392,22,2017-01-10
1077348,41870,7574018,8,2017-04-27
1077356,35301,5604709,16,2017-04-16
1077363,26801,9101015,38,2017-04-16
1077365,30151,8858848,99,2017-03-05
1077367,60871,4958434,70,2017-01-30
1077372,13435,3945750,53,2017-04-12
1077373,60585,8167210,36,2017-05-10
1077377,66071,1859299,100,2017-01-28
1077381,36915,4329777,93,2017-01-16
1077391,31658,6786096,79,2017-05-17
1077395,34420,5702369,29,2017-03-21
1077405,29428,7262962,42,2017-01-24
1077406,40758,6922856,95,2017-04-03
1077411,23846,3683734,78,2017-01-29
1077421,26687,3360728,33,2017-06-01
1077431,12197,1577093,19,2017-01-25
1077438,33141,7902424,100,2017-01-05
1077442,31871,4873666,70,2017-05-16
1077443,28067,3942838,96,2017-02-02
1077450,21736,6222207,65,2017-03-17
1077456,65520,3302712,100,2017-03-29
1077463,35401,5405802,80,2017-01-02
1077466,22138,7887320,56,2017-05-26
1077474,23577,8919397,30,2017-03-27
1077478,10969,5051597,49,2017-01-29
1077482,16854,4872807,29,2017-03-11
1077483,31295,6387588,70,2017-05-29
1077490,69679,2984880,56,2017-03-20
1077499,59241,3819853,72,2017-05-10
1077500,18465,7903946,12,2017-05-14
1077506,46909,5661459,60,2017-01-27
1077513,41750,7323742,58,2017-04-24
1077523,62629,1775577,2,2017-01-08
1077530,63378,9256423,34,2017-03-18
1077536,30209,4950098,88,2017-03-12
1077539,60722,5006617,9,2017-04-02
1077542,49211,1905832,39,2017-02-20
1077551,52943,5208427,83,2017-03-19
1077554,63169,8101044,97,2017-05-23
1077557,13302,7376344,78,2017-01-29
1077565,18938,5234772,72,2017-04-11
1077575,18554,5663244,42,2017-02-05
1077584,64340,4542536,51,2017-05-20
1077589,58595,8657041,87,2017-04-16
1077594,35179,4487844,84,2017-02-24
1077600,32405,8107122,11,2017-05-02
1077604,46343,3536976,27,2017-05-15
1077613,63494,6079752,11,2017-01-24
1077616,42021,6520635,41,2017-04-27
1077622,63003,4437996,20,2017-01-13
1077632,20239,1991998,98,2017-02-12
1077638,61044,4321100,32,2017-03-19
1077648,55155,8352978,60,2017-05-25
1077656,66753,2728095,58,2017-05-19
1077663,28873,7167561,64,2017-05-30
1077667,51833,7581286,34,2017-02-18
1077676,43056,2600519,12,2017-04-20
1077683,17324,5888070,86,2017-02-22
1077693,61828,9183387,21,2017-03-25
1077701,56454,3137007,43,2017-05-19
1077702,32000,3675788,84,2017-01-10
1077709,25816,3292378,39,2017-01-23
1077719,65992,3333197,22,2017-04-21
1077729,22874,9132440,93,2017-05-07
1077738,16342,8469311,2,2017-05-03
1077740,32034,4614236,20,2017-02-19
1077747,50281,4813128,83,2017-05-15
1077751,63670,5790670,66,2017-02-24
1077758,69614,7408699,27,2017-05-02
1077760,45506,9279176,36,2017-01-05
1077764,20784,7670647,44,2017-01-29
1077770,25120,1810133,23,2017-02-17
1077776,46834,4402419,73,2017-04-15
1077777,36310,5362540,13,2017-02-23
1077782,17476,4238737,5,2017-01-11
1077784,47228,1483016,97,2017-05-12
1077787,42946,6498131,16,2017-02-25
1077795,64848,8123750,7,2017-01-04
1077796,33237,8837275,67,2017-03-25
1077803,53375,4397257,98,2017-03-31
1077811,61078,5149002,25,2017-04-30
1077814,55595,1828355,55,2017-04-29
1077816,59312,7290195,26,2017-05-27
1077824,57238,3943659,57,2017-01-16
1077825,48122,6759952,60,2017-02-27
1077833,50997,1535268,76,2017-03-17
1077834,40039,6805347,65,2017-03-16
1077836,13451,8645984,59,2017-04-21
1077842,27377,4865109,75,2017-05-30
1077849,41242,2638802,40,2017-03-23
1077858,42777,3483205,30,2017-02-21
1077860,19046,5889508,93,2017-03-22
1077866,61053,8938657,66,2017-03-31
1077876,38064,6625569,34,2017-04-10
1077880,32731,1461417,98,2017-05-11
1077887,64437,8768035,90,2017-01-02
1077892,35928,8270049,41,2017-05-02
1077902,21798,5053756,24,2017-03-13
1077906,41136,8444562,18,2017-04-22
1077912,26598,4384828,98,2017-05-22
1077918,61531,6902271,13,2017-01-17
1077922,24548,6286777,19,2017-05-17
1077926,20524,4028620,42,2017-06-01
1077927,31508,3503034,98,2017-02-19
1077929,64222,9071693,76,2017-04-07
1077939,13079,4295941,60,2017-05-30
1077944,61746,1489929,95,2017-01-25
1077952,57003,8466331,86,2017-04-03
1077956,52772,5582297,24,2017-01-14
1077959,44079,6495507,65,2017-03-16
1077960,28776,8894277,44,2017-05-29
1077961,57130,4379303,59,2017-02-12
1077964,29181,4314710,45,2017-03-15
1077968,14992,4213470,20,2017-02-17
1077978,45048,7514028,25,2017-02-16
1077985,39480,2833081,79,2017-01-18
1077990,62330,9209827,8,2017-03-14
1077999,20563,4450534,70,2017-04-26
1078004,27351,9335605,17,2017-02-05
1078012,61870,8487000,4,2017-01-24
1078017,44972,8421900,63,2017-04-25
1078027,42653,6563350,74,2017-03-18
1078028,66489,5999803,27,2017-05-15
1078029,14297,6635900,61,2017-01-10
1078035,60152,9322902,12,2017-01-11
1078044,52155,1581484,46,2017-01-26
1078047,38969,7777596,44,2017-03-18
1078049,64303,8444515,90,2017-05-06
1078054,67298,7720646,98,2017-04-05
1078057,12195,5770626,23,2017-03-27
1078059,27926,1634035,12,2017-04-26
1078060,33337,1894026,13,2017-02-15
1078065,68833,1806766,48,2017-04-10
1078070,35830,2404918,80,2017-02-13
1078071,15628,5896805,34,2017-04-22
1078076,67680,7486316,26,2017-01-16
1078086,56629,7329289,33,2017-05-05
1078089,63967,6113285,84,2017-03-15
1078091,51616,6247022,80,2017-01-02
1078100,53382,8980900,97,2017-01-24
1078103,38853,4649397,8,2017-04-09
1078112,12442,5959111,36,2017-05-29
1078115,46199,2484806,23,2017-05-14
1078116,33464,1779378,19,2017-01-05
1078118,63155,2129302,2,2017-05-28
1078125,40250,8474535,83,2017-05-21
1078131,29249,7241764,2,2017-03-08
1078141,25075,8631978,84,2017-02-07
1078151,27069,6556820,99,2017-02-24
1078154,39966,5541906,57,2017-03-17
1078156,17043,5027976,22,2017-01-18
1078165,12645,3390810,40,2017-05-12
1078175,66512,8749861,97,2017-04-16
1078182,42311,6173367,82,2017-01-29
1078191,42317,6903504,91,2017-05-02
1078193,42914,4908916,61,2017-01-04
1078200,22905,7523998,52,2017-02-12
1078208,15919,4961535,44,2017-04-26
1078218,16370,5053959,40,2017-03-14
1078219,14657,2986920,71,2017-02-01
1078220,41328,5460950,92,2017-01-21
1078223,59122,6389598,10,2017-01-18
1078230,45122,5475608,89,2017-05-14
1078234,16862,7711685,68,2017-02-12
1078243,12240,8078214,18,2017-04-27
1078245,41832,5562859,39,2017-05-31
1078250,17788,4097984,31,2017-04-12
1078258,50429,6011193,26,2017-01-12
1078266,30385,6039471,3,2017-01-11
1078269,25920,7125836,12,2017-05-30
1078275,40093,2753400,20,2017-03-28
1078281,13993,7485379,47,2017-04-11
1078286,29014,7421977,51,2017-02-04
1078292,50047,5687730,62,2017-02-16
1078300,12055,4931104,30,2017-02-24
1078310,40678,9225828,68,2017-02-04
1078319,26710,6753158,66,2017-05-14
1078328,31499,2851823,18,2017-05-02
1078335,41736,8501930,18,2017-05-15
1078342,14863,6363136,92,2017-02-04
1078347,16902,3181860,70,2017-02-03
1078350,29466,4509321,4,2017-05-21
1078356,47309,7736263,57,2017-03-18
1078365,45379,7892062,34,2017-03-24
1078374,64575,1698258,50,2017-02-22
1078380,43081,8043441,99,2017-05-22
1078389,64105,8297395,54,2017-03-04
1078397,18806,4025169,50,2017-04-11
1078404,63535,5780407,6,2017-01-27
1078405,54002,5647862,71,2017-05-15
1078410,20340,8658168,81,2017-03-31
1078417,20468,4061298,92,2017-04-29
1078423,56527,7097007,85,2017-01-08
1078425,19788,2435051,28,2017-05-20
1078426,47872,8040422,24,2017-05-17
1078432,43646,8066675,38,2017-02-24
1078442,63575,7121956,43,2017-04-19
1078450,42946,6217524,64,2017-06-01
1078456,34512,5596772,83,2017-01-03
1078465,56483,6281216,53,2017-04-19
1078468,12010,2732123,35,2017-01-30
1078471,64692,8349051,77,2017-02-07
1078478,37721,9299758,86,2017-02-25
1078479,13446,4976781,70,2017-03-16
1078487,11915,6216612,43,2017-01-02
1078497,42154,7633447,45,2017-02-21
1078503,36359,8730945,99,2017-01-12
1078509,29020,8151619,85,2017-03-22
1078510,18554,1811966,82,2017-04-17
1078512,44451,1369850,96,2017-01-11
1078520,28357,3298049,98,2017-05-19
1078521,69700,8219996,83,2017-02-07
1078523,57265,9044430,83,2017-04-01
1078528,22798,6405553,17,2017-05-30
1078536,31278,6442253,12,2017-01-05
1078538,65629,5347936,56,2017-02-23
1078546,62572,1548779,78,2017-05-23
1078555,64790,9212225,97,2017-03-09
1078560,34606,3378111,66,2017-03-31
1078562,24873,4150481,54,2017-02-19
1078563,61060,5739022,98,2017-01-26
1078567,51398,8494336,93,2017-05-06
1078577,35362,4127940,39,2017-04-19
1078585,66454,3700995,48,2017-04-30
1078595,11618,4043423,87,2017-02-22
1078605,34812,6215565,68,2017-02-20
1078612,25349,7852035,15,2017-05-30
1078622,30312,6107384,57,2017-04-10
1078630,21265,2934907,22,2017-05-07
1078632,65627,2651023,46,2017-05-28
1078640,63548,6627574,28,2017-03-29
1078643,20661,2803091,4,2017-02-23
1078648,62893,6766844,56,2017-01-30
1078655,46094,6703926,46,2017-03-08
1078664,48278,5258371,52,2017-05-15
1078672,37044,4925517,98,2017-03-20
1078675,19620,7871051,18,2017-02-11
1078680,36090,3361490,30,2017-02-05
1078690,58884,5405062,85,2017-01-08
1078694,61099,9204243,7,2017-03-12
1078704,34725,8391086,32,2017-04-01
1078713,68991,5190144,36,2017-01-11
1078714,69505,2106951,71,2017-01-23
1078721,38271,5104552,59,2017-01-09
1078723,32370,5641479,54,2017-01-07
1078728,37911,6412401,83,2017-04-03
1078730,41611,3033407,76,2017-01-02
1078734,29690,5622895,66,2017-01-02
1078742,15990,2966835,82,2017-02-21
1078744,41287,3834655,96,2017-02-02
1078754,18364,7924271,65,2017-05-25
1078760,13652,8789820,61,2017-01-01
1078766,38508,6608763,45,2017-05-07
1078767,19806,1872295,84,2017-03-24
1078769,22733,7061144,13,2017-04-04
1078774,13055,2846393,41,2017-05-09
1078777,17421,6892393,45,2017-01-25
1078781,68207,3788843,21,2017-04-18
1078784,44076,2864378,22,2017-04-22
1078788,65590,3659531,86,2017-01-24
1078795,54101,6509117,68,2017-02-13
1078797,11867,1955170,29,2017-05-07
1078805,13566,6361109,88,2017-03-01
1078815,20206,3949855,28,2017-01-30
1078817,42434,3916927,36,2017-02-23
1078821,69718,4769686,16,2017-05-05
1078823,50103,6186110,18,2017-03-06
1078830,31324,1404362,100,2017-02-16
1078833,58569,1781290,50,2017-03-14
1078843,62137,2288891,91,2017-02-01
1078852,38301,4235389,3,2017-05-25
1078853,27127,3253168,9,2017-01-27
1078854,61923,7226231,41,2017-03-26
1078862,11619,8328420,2,2017-05-08
1078869,54213,1914757,88,2017-03-23
1078872,31698,1869185,5,2017-01-06
1078882,49431,3392794,86,2017-01-29
1078892,24429,5903713,7,2017-04-26
1078899,68880,6703329,37,2017-01-29
1078907,30691,5355008,7,2017-03-10
1078908,55155,1633719,10,2017-04-10
1078918,68950,8263335,91,2017-01-08
1078921,53786,3863705,59,2017-05-17
1078929,29466,6261824,50,2017-02-06
1078931,12134,6254143,9,2017-05-09
1078940,58178,2870067,92,2017-05-30
1078945,22270,6805489,52,2017-05-30
1078946,59706,5821712,81,2017-04-16
1078955,31249,6673566,68,2017-02-21
1078956,43784,3854088,9,2017-05-07
1078957,12629,1797040,34,2017-04-24
1078958,37555,3036863,9,2017-02-27
1078964,30557,4365236,58,2017-03-17
1078965,62545,8116329,62,2017-03-24
1078972,13038,8894236,26,2017-02-01
1078981,24870,3411267,67,2017-05-10
1078990,31081,6880735,3,2017-01-08
1078996,31155,5501508,88,2017-04-02
1079005,34420,6741069,23,2017-04-02
1079008,38456,4489979,88,2017-04-03
1079012,50373,1529050,1,2017-03-18
1079013,36992,3567039,94,2017-05-25
1079022,24021,7742318,76,2017-05-12
1079030,24102,3374623,14,2017-01-06
1079033,55301,4152809,61,2017-03-29
1079034,70150,4939569,17,2017-03-04
1079040,35531,7740349,54,2017-01-20
1079050,56833,2907607,85,2017-01-12
1079052,32139,3032880,79,2017-03-23
1079056,62020,3743341,12,2017-01-03
1079063,55424,4776734,38,2017-02-07
1079066,52597,7684320,7,2017-05-17
1079072,32249,6221973,38,2017-04-23
1079075,47248,4052266,41,2017-04-28
1079084,29245,2890879,76,2017-04-19
1079088,22360,2264002,17,2017-01-24
1079094,47802,5873574,68,2017-05-30
1079101,36694,4832117,78,2017-01-02
1079106,11526,7261423,72,2017-01-01
1079110,13823,1959341,50,2017-03-19
1079117,14099,4780020,75,2017-05-21
1079118,53957,8082075,74,2017-04-25
1079125,64245,3309186,70,2017-03-27
1079134,29754,2011927,90,2017-04-10
1079137,25718,6930119,88,2017-03-25
1079143,14992,3416498,64,2017-02-20
1079145,28900,8179892,95,2017-04-01
1079151,59549,3863908,67,2017-05-04
1079154,11029,2187138,90,2017-01-29
1079164,42495,3071309,89,2017-01-05
1079170,51202,4631670,43,2017-01-29
1079172,30110,4152707,57,2017-03-09
1079173,70160,7511558,63,2017-04-02
1079178,37720,3620879,14,2017-02-13
1079180,54428,2040206,18,2017-04-20
1079190,20955,6641078,11,2017-02-01
1079198,35222,7321369,49,2017-02-05
1079207,32602,7863865,55,2017-02-05
1079210,17508,2897652,94,2017-05-04
1079217,54255,6635885,99,2017-03-09
1079225,26486,1722379,95,2017-02-15
1079231,54907,3241294,35,2017-04-02
1079238,47526,4073317,83,2017-03-19
1079241,21273,4606257,36,2017-05-10
1079242,66875,7407196,16,2017-05-09
1079248,32819,6952649,85,2017-04-02
1079253,33731,5947744,15,2017-03-08
1079261,55616,8177815,25,2017-05-16
1079266,47042,2844340,4,2017-05-29
1079272,29746,4543438,56,2017-05-20
1079274,18050,2938315,63,2017-04-23
1079277,46853,7790507,46,2017-01-03
1079287,27298,5768733,52,2017-02-28
1079292,58031,1966367,65,2017-04-05
1079301,60928,8703529,73,2017-05-29
1079302,28636,3957708,71,2017-04-29
1079304,42316,7397421,20,2017-02-06
1079306,43784,1849604,86,2017-03-14
1079315,55256,1409121,69,2017-05-12
1079318,45947,6166675,27,2017-02-13
1079327,52819,5554304,77,2017-05-26
1079335,50279,8967818,87,2017-02-02
1079336,27184,7171583,71,2017-03-25
1079342,33140,7260635,80,2017-02-20
1079343,18558,4658034,92,2017-05-13
1079344,12541,1577546,68,2017-03-06
1079352,61053,5111620,39,2017-05-18
1079356,29524,4446055,71,2017-04-07
1079359,12966,8500333,24,2017-03-28
1079362,36286,5872581,65,2017-02-12
1079371,59841,4220255,88,2017-04-20
1079380,23696,3068715,7,2017-02-12
1079386,58205,7180874,36,2017-03-07
1079389,24909,6845328,91,2017-05-20
1079393,65900,8558359,17,2017-03-05
1079397,45393,6796816,6,2017-03-06
1079406,30624,2534430,69,2017-02-24
1079415,66002,8216895,58,2017-02-15
1079422,64167,8182465,93,2017-05-11
1079431,40678,1965412,60,2017-01-28
1079435,30322,7626222,90,2017-05-24
1079441,16767,2254405,23,2017-04-07
1079449,32859,7764861,3,2017-05-31
1079457,46342,2580726,39,2017-03-02
1079465,62465,6353850,15,2017-03-03
1079472,55694,5413282,74,2017-02-12
1079474,40284,4107862,40,2017-04-09
1079477,39886,1504457,76,2017-01-06
1079487,70239,1645575,91,2017-05-03
1079494,38311,5960169,77,2017-03-23
1079504,65248,1656430,77,2017-03-31
1079514,45007,6070264,91,2017-04-01
1079517,51339,5451146,50,2017-03-29
1079524,32898,4553600,57,2017-05-15
1079529,63617,2578212,25,2017-01-16
1079534,32633,5525418,3,2017-05-31
1079544,21151,6411338,37,2017-04-12
1079551,21178,2721350,2,2017-05-29
1079555,41801,9190694,29,2017-02-08
1079563,11032,7228921,4,2017-03-22
1079565,33345,2336708,59,2017-05-17
1079571,37582,4499907,71,2017-03-26
1079577,67124,7097194,65,2017-02-28
1079585,61888,3875298,20,2017-02-04
1079591,26579,4012267,70,2017-03-16
1079595,67797,8611191,42,2017-02-15
1079600,19076,1431524,41,2017-01-21
1079606,47684,3044944,47,2017-03-31
1079609,61062,3289123,8,2017-03-10
1079616,30248,7426743,71,2017-05-30
1079625,62376,4859553,52,2017-02-12
1079629,10672,8865245,13,2017-05-10
1079634,33925,2501469,45,2017-02-20
1079635,53075,5246536,54,2017-05-23
1079640,50654,1404826,78,2017-04-19
1079644,62938,2410080,44,2017-05-18
1079646,54758,6167556,27,2017-04-19
1079650,52866,5591644,33,2017-03-14
1079657,35931,6664708,67,2017-02-25
1079663,43468,4645102,18,2017-03-07
1079673,32457,1369591,20,2017-01-01
1079676,41166,8062946,50,2017-01-23
1079678,23594,4166358,91,2017-01-09
1079685,20281,4479771,3,2017-01-04
1079686,47123,7933983,87,2017-04-06
1079694,26508,7600565,22,2017-02-14
1079699,33914,6489821,100,2017-04-20
1079705,15882,8500009,13,2017-02-24
1079712,56372,4079161,69,2017-03-21
1079718,63309,3929460,11,2017-04-03
1079722,53118,2948059,19,2017-04-13
1079726,35459,6048564,86,2017-02-14
1079732,53141,4730726,87,2017-02-13
1079737,32249,2101160,75,2017-04-07
1079746,51380,4093780,50,2017-04-04
1079750,53842,7102262,4,2017-01-14
1079758,24892,3023424,47,2017-04-21
1079766,15482,3456115,53,2017-02-08
1079776,18237,2671096,62,2017-01-17
1079785,65727,5718637,6,2017-02-19
1079791,62406,1947879,55,2017-05-08
1079799,27277,3488259,87,2017-05-23
1079801,37177,8123984,42,2017-02-19
1079810,39615,7723224,73,2017-02-24
1079819,48586,8270496,9,2017-05-26
1079824,20817,5629334,71,2017-01-12
1079833,58513,5943564,11,2017-03-26
1079842,10518,9231597,93,2017-03-13
1079848,42488,4262651,38,2017-02-09
1079856,65492,7100766,44,2017-05-18
1079863,34134,7575678,19,2017-03-11
1079864,34651,2998850,74,2017-05-06
1079870,67797,6131159,11,2017-02-08
1079873,62523,2405774,15,2017-02-12
1079879,49887,4278710,28,2017-04-11
1079881,46733,5084032,98,2017-03-13
1079886,34503,2530976,29,2017-01-25
1079892,20964,2686808,99,2017-03-22
1079897,44688,3135170,62,2017-05-18
1079900,15940,6430509,96,2017-03-14
1079902,60965,3305045,92,2017-02-28
1079907,43058,1848549,44,2017-02-10
1079912,50001,6067626,73,2017-01-21
1079916,31416,7602473,98,2017-01-28
1079920,25217,4361343,23,2017-01-30
1079921,15559,3749934,74,2017-02-02
1079922,31514,3523535,30,2017-03-22
1079928,57511,6806603,50,2017-04-24
1079931,32507,7978894,17,2017-05-07
1079938,48691,5605312,53,2017-04-03
1079944,61425,4927631,49,2017-05-18
1079954,53529,2598135,20,2017-01-06
1079956,64382,2068915,63,2017-05-25
1079960,12262,7496891,66,2017-03-09
1079961,21631,7767225,23,2017-04-06
1079968,49668,7579162,54,2017-02-25
1079971,38471,8042761,99,2017-04-17
1079976,47206,1835958,22,2017-04-17
1079986,58977,4454232,17,2017-01-07
1079996,45242,5573044,58,2017-05-25
1079998,57037,5511411,88,2017-01-24
1080003,46869,8166706,16,2017-03-06
1080004,35417,6303424,97,2017-05-03
1080006,58765,2966643,83,2017-05-05
1080012,19699,2678306,96,2017-05-12
1080021,11435,7172385,96,2017-03-18
1080027,45063,8494985,51,2017-05-24
1080037,24637,8177531,39,2017-05-04
1080038,17135,3250579,93,2017-02-03
1080046,61382,7778496,48,2017-03-23
1080053,45671,3373091,8,2017-01-23
1080058,30961,1980787,42,2017-04-18
1080060,22971,6557348,45,2017-05-18
1080068,66283,2186553,60,2017-05-18
1080069,34035,7260537,76,2017-04-02
1080078,41612,1637800,65,2017-03-27
1080080,18331,5548021,81,2017-03-25
1080086,13590,3412006,85,2017-01-16
1080096,64445,6672270,37,2017-05-20
1080097,52556,5955522,52,2017-01-04
1080106,40479,2454593,99,2017-03-12
1080108,45086,5719943,66,2017-05-17
1080109,14468,7588159,87,2017-02-04
1080111,62229,4524836,20,2017-04-08
1080113,11601,1390776,17,2017-05-31
1080116,29261,9244804,29,2017-03-07
1080117,67596,2288759,79,2017-02-05
1080121,15370,8472464,64,2017-03-01
1080129,61099,4093111,72,2017-03-27
1080135,70103,3344840,22,2017-02-08
1080138,21742,4128429,98,2017-04-18
1080142,57135,2317246,69,2017-05-31
1080150,53402,4510177,25,2017-01-22
1080160,31438,3079672,97,2017-02-25
1080170,62363,8958427,87,2017-03-26
1080176,22960,4430526,45,2017-03-08
1080177,61851,5452757,79,2017-02-18
1080186,26365,4628214,51,2017-01-18
1080195,43451,2743000,88,2017-04-28
1080201,66512,2225721,96,2017-03-15
1080202,13945,5536474,71,2017-05-29
1080207,24194,1886977,89,2017-02-13
1080208,65303,4103271,47,2017-05-20
1080212,47110,1364049,14,2017-01-17
1080222,66270,2534687,19,2017-02-07
1080230,11349,1933801,47,2017-05-11
1080234,30891,7262464,52,2017-01-01
1080237,18434,2538730,96,2017-05-19
1080246,21111,1600811,24,2017-04-24
1080247,30000,3875757,11,2017-05-31
1080257,34469,4014192,55,2017-03-04
1080260,67145,7704630,83,2017-04-30
1080270,32675,8493058,71,2017-05-26
1080271,48345,3684880,60,2017-02-07
1080272,69872,6619585,90,2017-05-02
1080277,30503,3537273,63,2017-01-09
1080285,59211,9309042,100,2017-03-07
1080291,51111,5080280,22,2017-03-08
1080299,68335,7260562,66,2017-01-25
1080308,20177,6623829,50,2017-04-24
1080315,20239,8908222,47,2017-03-19
1080324,10537,8727114,22,2017-01-24
1080325,54238,6861908,85,2017-03-15
1080328,23537,6796844,52,2017-05-24
1080335,18075,6669353,54,2017-05-16
1080344,11395,9323501,38,2017-02-21
1080350,29732,8759573,34,2017-04-10
1080355,53980,2697601,49,2017-04-03
1080356,21894,2296285,33,2017-04-10
1080358,18510,1765460,72,2017-02-28
1080361,48957,1995247,16,2017-05-29
1080368,47804,1821922,62,2017-01-20
1080376,31382,7830307,56,2017-03-23
1080377,58690,7201851,46,2017-01-17
1080379,43320,2074930,46,2017-01-15
1080381,24205,3236313,48,2017-02-20
1080388,12040,6324314,26,2017-02-12
1080398,41939,3858597,76,2017-02-04
1080400,40172,3769007,76,2017-04-01
1080406,49626,4918728,33,2017-04-22
1080412,55573,2902300,92,2017-01-04
1080420,21931,6680319,76,2017-03-07
1080427,67028,4078771,87,2017-02-16
1080432,41217,6130938,98,2017-04-12
1080437,16186,8945412,87,2017-01-07
1080445,33854,5084008,84,2017-03-24
1080455,20685,6027721,96,2017-05-26
1080463,51417,4664984,50,2017-02-13
1080465,43844,4145453,37,2017-05-03
1080475,52579,9016693,15,2017-04-08
1080482,16619,9066772,96,2017-01-30
1080491,11367,2145523,10,2017-01-01
1080495,42198,7018206,96,2017-03-19
1080505,22186,6576296,31,2017-05-22
1080514,19416,8798508,50,2017-05-29
1080519,59526,5348659,34,2017-04-14
1080526,69729,8332717,27,2017-04-25
1080528,32259,2218985,73,2017-04-13
1080538,35931,5230253,95,2017-05-20
1080548,28088,2847997,5,2017-05-21
1080552,60639,7281852,17,2017-04-06
1080555,30108,2770639,89,2017-01-27
1080556,23075,6257882,20,2017-01-28
1080566,11028,2663420,2,2017-03-23
1080571,31814,4227760,4,2017-03-28
1080572,29566,8551299,75,2017-02-24
1080575,17076,7612223,83,2017-04-11
1080579,31557,1425087,90,2017-02-05
1080586,15293,7505818,65,2017-04-05
1080587,18280,2022301,26,2017-02-12
1080593,51806,5811735,12,2017-02-05
1080602,13540,2818621,75,2017-03-11
1080612,12358,2218285,8,2017-03-21
1080613,41638,4375737,19,2017-04-22
1080615,65807,8956407,24,2017-02-14
1080621,45941,8707030,17,2017-02-24
1080631,69757,6906969,64,2017-02-16
1080633,26874,2092227,1,2017-02-03
1080639,23996,7482456,16,2017-03-13
1080641,15023,7606332,99,2017-04-17
1080644,39971,6920269,38,2017-01-11
1080651,22719,2680701,79,2017-04-06
1080656,24882,9094342,100,2017-03-28
1080659,20937,2037416,46,2017-03-30
1080664,63103,1459469,82,2017-01-22
1080666,62180,1882266,25,2017-03-06
1080674,64787,2819739,87,2017-04-14
1080676,19688,5023015,84,2017-01-24
1080683,63497,8045627,100,2017-02-24
1080687,50425,8054228,76,2017-01-01
1080697,65083,7286581,52,2017-01-18
1080703,66824,4824730,59,2017-05-19
1080710,16037,2390898,39,2017-01-06
1080714,59663,6386315,75,2017-04-16
1080721,56243,2880826,27,2017-01-02
1080730,63967,6455663,13,2017-03-27
1080734,18920,3500781,15,2017-01-02
1080736,64839,7696490,82,2017-01-25
1080745,33197,5905782,50,2017-04-13
1080749,58480,2492879,76,2017-02-02
1080759,29260,6181816,15,2017-02-22
1080764,63778,4554527,82,2017-04-19
1080774,45403,8581108,87,2017-01-29
1080780,17076,6345689,75,2017-03-11
1080782,37139,6557094,18,2017-01-22
1080792,21276,2287806,97,2017-04-13
1080793,12610,5369820,99,2017-03-25
1080795,65910,8615391,17,2017-02-03
1080797,46289,2329579,44,2017-02-19
1080803,22544,2027717,62,2017-02-06
1080810,17454,5814544,29,2017-04-26
